arise_control_id,prEN 18284 Reference,rationale
I.SC-01,Art. 10 - Data Governance,"ARISE control Supply Chain Risk (IDENTIFY) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 7 requirements demonstrate direct keyword alignment to this standard: I.SC-01-req-01 (Supplier Inventory & Tiering: Classify suppliers by criticality and data access. (100% critical suppliers assessed pre-onboarding; annual reassessments.)) -- matched terms: data"
I.TH-01,Art. 10 - Data Quality & Governance,"ARISE control Security Thresholds (IDENTIFY) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Define alarm thresholds and decision criteria for security events to ensure timely, consistent response.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
I.TH-02,Art. 10.3 - Bias Controls,"ARISE control AI Operational Thresholds (IDENTIFY) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: I.TH-02-req-03 (Quantitative Gates: Define accuracy, robustness, fairness, calibration, and explainability coverage metrics.) -- matched terms: fairness. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
I.TM-01,Art. 10 - Data Quality & Governance,"ARISE control Threat Management (IDENTIFY) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 9 requirements demonstrate direct keyword alignment to this standard: I.TM-01-req-09 (Automated Threat Hunting: Implement hypothesis-driven hunting workflows that proactively search historical log data for indicators of compromise (IoCs) related to advanced persistent threats (APTs) that evaded real-time alerts.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
P.AC.M-01,Art. 10.3 - Bias Controls,"ARISE control Bias (PROTECT) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 7 requirements demonstrate direct keyword alignment to this standard: P.AC.M-01-req-01 (Documentation: Model cards with fairness assumptions, metrics, mitigations, limitations; re-evaluate on data/model changes.) -- matched terms: data, fairness"
P.AC.M-02,Art. 10 - Data Quality & Governance,"ARISE control Robustness (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Ensure models withstand distribution shift and adversarial conditions; enable predictable fail-safe behavior.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
P.AC.M-03,Art. 10 - Data Quality & Governance,"ARISE control Explainability (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Provide audience-appropriate transparency and interpretability; disclose limits to support responsible use and governance.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
P.AC.S-01,Art. 10.2 - Data Quality Requirements,"ARISE control Datasets & Tagging (PROTECT) maps to Art. 10.2 - Data Quality Requirements of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 7 requirements demonstrate direct keyword alignment to this standard: P.AC.S-01-req-01 (Provenance & Licensing: Record source, license terms, consent/usage rights; block unvetted datasets.) -- matched terms: data, dataset"
P.AC.S-02,Art. 10 - Data Governance,"ARISE control AI-Specific Attack Vectors (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 8 requirements demonstrate direct keyword alignment to this standard: P.AC.S-02-req-03 (Adversarial Testing: Red-team for jailbreaks, prompt-injection chains, data poisoning; capture signatures into detections.) -- matched terms: data"
P.AT-01,Art. 10 - Data Quality & Governance,"ARISE control AI Training (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 7 requirements demonstrate direct keyword alignment to this standard: P.AT-01-req-03 (Curriculum Design: Modular training covering bias, fairness, explainability, data governance, TEVV, and legal obligations.) -- matched terms: bias, data, data governance, fairness"
P.AT-02,Art. 10 - Data Quality & Governance,"ARISE control Cybersecurity Training (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 5 requirements demonstrate direct keyword alignment to this standard: P.AT-02-req-01 (Baseline Program: Mandatory annual training covering password hygiene, phishing, data handling, and incident reporting.) -- matched terms: data, handling"
P.AT-03,Art. 10 - Data Quality & Governance,"ARISE control Governance Training (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: P.AT-03-req-03 (Committee Orientation: Onboarding decks for ethics, privacy, and security committees.) -- matched terms: privacy. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
P.DS-01,Art. 10 - Data Governance,"ARISE control Classification & Handling (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 8 of 8 requirements demonstrate direct keyword alignment to this standard: P.DS-01-req-01 (Classification Scheme: Define tiers (Public, Internal, Confidential, Restricted, Safety-Critical).) -- matched terms: classification"
P.DS-02,Art. 10 - Data Governance,"ARISE control Cryptographic Management (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: P.DS-02-req-01 (Encryption Coverage: Enforce encryption for data-at-rest, in-transit, and for model files.) -- matched terms: data"
P.ES,Art. 10 - Data Governance,"ARISE control Endpoint Security (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 9 requirements demonstrate direct keyword alignment to this standard: P.ES-req-08 (Data Controls: USB control; DLP for local exfiltration; prevent caching of sensitive embeddings unless encrypted.) -- matched terms: data"
P.IM,Art. 10 - Data Governance,"ARISE control Identity Management (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Ensure that only authorized, authenticated, and accountable entities—human or machine—can access systems, datasets, and AI resources, enforcing least-privilege and separation of duties.. None of the 10 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
P.NS,Art. 10 - Data Governance,"ARISE control Network Security (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: P.NS-req-01 (Segmentation: Micro-segmentation by environment, data sensitivity, and workload; deny-by-default east–west; software-defined segmentation.) -- matched terms: data"
P.PC,Art. 10 - Data Governance,"ARISE control Privacy Controls (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 7 requirements demonstrate direct keyword alignment to this standard: P.PC-req-01 (Data Minimization: Collect and retain only data necessary for defined purposes.) -- matched terms: data"
P.PS,Art. 10 - Data Quality & Governance,"ARISE control Platform Security (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Secure cloud, container, and MLOps platforms through hardened configuration, provenance, and runtime protection to safeguard build, deploy, and model management planes.. None of the 8 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
P.PY-01,Art. 10 - Data Quality & Governance,"ARISE control Access Controls (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 4 requirements demonstrate direct keyword alignment to this standard: P.PY-01-req-01 (Perimeter & Entry: Badging, visitor vetting, mantraps where applicable; audit logs retained. (Visitor logs for all data rooms; dual-control access.)) -- matched terms: data"
P.PY-02,Art. 10 - Data Quality & Governance,"ARISE control Environment Controls (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Protect assets against environmental hazards and facility failures.. None of the 4 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
P.PY-03,Art. 10 - Data Governance,"ARISE control Safety & Security (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 4 requirements demonstrate direct keyword alignment to this standard: P.PY-03-req-02 (Secure Evacuation of Data/Media: Emergency seals, transport procedures, custody logs.) -- matched terms: data"
P.RC,Art. 10 - Data Quality & Governance,"ARISE control Resilience Controls (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 10 requirements demonstrate direct keyword alignment to this standard: P.RC-req-01 (Data Resilience: Immutable backups, point-in-time recovery, encryption, and cross-region copies; periodic restore tests including model artifacts.) -- matched terms: data"
P.RP-01,Art. 10 - Data Quality & Governance,"ARISE control Business Continuity (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: P.RP-01-req-06 (Upstream Dependency Mapping: Identify and document invisible single points of failure, such as specific third-party model APIs, data labeling services, or niche cloud regions, and establish alternate providers or cached operational modes for each.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
P.RP-02,Art. 10 - Data Governance,"ARISE control Disaster Recovery (PROTECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Restore systems, data, and AI pipelines to defined target RTO/RPO using immutable backups and tested restore procedures.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
P.SC,Art. 10 - Data Quality & Governance,"ARISE control Supply Chain (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Ensure provenance, integrity, and security of third-party components, including AI models/APIs and open source.. None of the 7 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
P.SD,Art. 10 - Data Quality & Governance,"ARISE control Secure Development (PROTECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 10 requirements demonstrate direct keyword alignment to this standard: P.SD-req-03 (Threat Modeling: Required at design; include AI-specific abuse, data leakage, model theft.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
D.AD,Art. 10 - Data Governance,"ARISE control Anomaly Detection (DETECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: D.AD-req-06 (Detection Methods: Use ML, rules, and heuristics to identify anomalies and ethical risks (e.g., bias shifts).) -- matched terms: bias. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
D.CM,Art. 10 - Data Governance,"ARISE control Continuous Monitoring (DETECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 4 of 8 requirements demonstrate direct keyword alignment to this standard: D.CM-req-01 (Telemetry Collection: Aggregate logs, metrics, and AI inference data across systems and environments.) -- matched terms: data"
D.ID,Art. 10 - Data Quality & Governance,"ARISE control IOC Detection (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: D.ID-req-06 (AI-Specific Threat Indicators: Curate and monitor for AI-native IOCs, including known adversarial prompt signatures, anomalous model-inversion traffic patterns, and unique signatures associated with poisoned dataset repositories.) -- matched terms: data, dataset"
D.IM,Art. 10 - Data Quality & Governance,"ARISE control Incident Management (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: D.IM-req-01 (Incident Classification: Define types and severity levels (including AI-specific categories like Model Hijacking or Data Poisoning).) -- matched terms: classification, data"
D.MT,Art. 10 - Data Governance,"ARISE control Monitor Third Parties (DETECT) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: D.MT-req-04 (Ethical Oversight: Validate AI suppliers for fairness, transparency, and accountability practices.) -- matched terms: fairness"
D.SA-01,Art. 10 - Data Quality & Governance,"ARISE control Performing Security Assessments (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Assess the effectiveness of controls through independent and systematic security testing across digital and AI environments.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
D.SA-02,Art. 10 - Data Quality & Governance,"ARISE control Penetration Testing (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: D.SA-02-req-01 (Define annual scope covering both standard infrastructure (Cloud, API) and AI components (Models, RAG pipelines, Training Data).) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
D.SA-03,Art. 10 - Data Quality & Governance,"ARISE control Vulnerability Testing (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Identify and mitigate exploitable weaknesses across systems, applications, and AI components.. None of the 7 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
D.SA-04,Art. 10 - Data Quality & Governance,"ARISE control Tabletop Exercises (BCDR) (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: D.SA-04-req-02 (Roles: Identify and assign cross-functional participants (Legal, PR, IT, Data Science/AI Heads) for each scenario type.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
D.SA-05,Art. 10 - Data Quality & Governance,"ARISE control Code Scanning (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 8 requirements demonstrate direct keyword alignment to this standard: D.SA-05-req-02 (Scope Repository Inventory: Maintain an automated inventory of all source code repositories, including Sandbox AI environments and Data Science repos.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
D.TI,Art. 10 - Data Quality & Governance,"ARISE control Threat Intelligence (DETECT) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Integrate actionable threat intelligence into detection and defense programs to anticipate, contextualize, and mitigate evolving threats.. None of the 7 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
R.IC.E-01,Art. 10 - Data Quality & Governance,"ARISE control Regulatory Reporting (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.E-01-req-05 (Record Retention: Regulatory reports retained per retention policy.) -- matched terms: retention"
R.IC.E-02,Art. 10 - Data Quality & Governance,"ARISE control Law Enforcement Partners (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.E-02-req-06 (Scope Verification: Verify scope of engagement and specific data sharing requirements.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
R.IC.E-03,Art. 10 - Data Quality & Governance,"ARISE control Information-Sharing Communities (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.E-03-req-01 (Sharing Policy: Develop information-sharing policies covering classification, anonymization, and disclosure approval.) -- matched terms: classification"
R.IC.E-04,Art. 10 - Data Governance,"ARISE control Privacy Notification Requirements (RESPOND) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.E-04-req-01 (Coordination: Coordinate with Legal, DPO, and Privacy Office to determine notification scope and method.) -- matched terms: privacy"
R.IC.I-01,Art. 10 - Data Quality & Governance,"ARISE control Personnel (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Inform affected teams during incidents; distribute internal guidance and FAQs to prevent misinformation and streamline remediation.. None of the 7 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
R.IC.I-02,Art. 10 - Data Quality & Governance,"ARISE control Top Management (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: R.IC.I-02-req-04 (Materiality Determination: Establish a formal protocol for the Executive Committee to review technical impact data and issue a formal Materiality determination to trigger regulatory disclosure workflows.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
R.IC.I-03,Art. 10 - Data Quality & Governance,"ARISE control Incident Response Team (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Maintain synchronized internal communication during active incidents with a single source of truth.. None of the 7 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
R.IC.P,Art. 10 - Data Quality & Governance,"ARISE control Public Updates / Disclosures (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: R.IC.P-req-03 (Predefined Templates: Use predefined media templates and Q&A documents (holding statements) for various scenarios (e.g., Ransomware, Data Leak, AI Bias Event).) -- matched terms: bias, data"
R.IC.R,Art. 10 - Data Quality & Governance,"ARISE control Recovery Activity & Restoration (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.R-req-04 (Data Validation: Validate all external statements against real-time operational data.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
R.IM-01,Art. 10 - Data Quality & Governance,"ARISE control Containment (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Limit the spread and impact of an incident by isolating affected assets, blocking malicious activity, and preserving evidence for investigation.. None of the 8 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
R.IM-02,Art. 10 - Data Quality & Governance,"ARISE control Eradication (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: R.IM-02-req-01 (Remediation Actions: Patch vulnerabilities, clean malware, rotate credentials, and remove malicious datasets or code.) -- matched terms: data, dataset. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
R.IM-03,Art. 10 - Data Governance,"ARISE control Disaster Recovery (RESPOND) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: R.IM-03-req-01 (Restore Procedures: Maintain tested restore runbooks for systems, models, and datasets; verify signatures before redeployment.) -- matched terms: data, dataset"
R.IM-04,Art. 10 - Data Quality & Governance,"ARISE control Business Continuity (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Maintain critical operations during incident response and recovery, ensuring customer commitments and mission continuity.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
R.IR-01,Art. 10.2 - Data Quality Requirements,"ARISE control Incident Response: AI (RESPOND) maps to Art. 10.2 - Data Quality Requirements of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 8 of 10 requirements demonstrate direct keyword alignment to this standard: R.IR-01-req-01 (Roles & Responsibilities: Assign roles for detection, triage, ethics escalation, privacy/legal review, and technical containment.) -- matched terms: privacy"
R.IR-02,Art. 10 - Data Quality & Governance,"ARISE control Incident Response: Cybersecurity (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 8 requirements demonstrate direct keyword alignment to this standard: R.IR-02-req-01 (Incident Classification & Severity Matrix: Define categories (intrusion, malware, exfiltration, DDoS, insider misuse). Assign SLAs for triage and containment.) -- matched terms: classification"
R.IR-03,Art. 10 - Data Governance,"ARISE control Incident Response: Privacy (RESPOND) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 4 of 7 requirements demonstrate direct keyword alignment to this standard: R.IR-03-req-01 (Privacy Incident Identification: Detect anomalies indicating PII/PHI leakage, misclassification, or unauthorized access.) -- matched terms: classification, privacy"
R.LL,Art. 10 - Data Quality & Governance,"ARISE control Incident Lessons Learned (RESPOND) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Ensure every incident or near miss results in measurable learning, control enhancement, and organizational improvement.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
V.AD-01,Art. 10 - Data Quality & Governance,"ARISE control External Audit: AI Audit (VALIDATE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: V.AD-01-req-04 (Engagement Management: Define scope with auditors; provide access to environments and read-only logs where appropriate; protect sensitive data through redaction or sandboxes.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
V.AD-02,Art. 10 - Data Quality & Governance,"ARISE control External Audit: Security Audit (VALIDATE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Gain independent validation of ISMS and cybersecurity posture (e.g., certification or attestation) to enhance trust and demonstrate control effectiveness.. None of the 4 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
V.CI-01,Art. 10 - Data Quality & Governance,"ARISE control Reporting Channels (VALIDATE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: V.CI-01-req-02 (Triage & SLAs: Categorize reports (security, privacy, ethics, product safety); set response/acknowledgement SLAs; track every submission to closure.) -- matched terms: privacy"
V.CI-02,Art. 10.3 - Bias Controls,"ARISE control Internal Audit: AI Audit (VALIDATE) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: V.CI-02-req-02 (Test Procedures: Evidence sampling of TEVV artifacts, fairness/robustness metrics, privacy constraints, explainability proofs, and inventory completeness.) -- matched terms: fairness, privacy. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
V.CI-03,Art. 10 - Data Quality & Governance,"ARISE control Internal Audit: Security Audit (VALIDATE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: V.CI-03-req-02 (Control Testing: Walkthroughs, design tests, re-performance, and sampling; verify evidence quality and retention.) -- matched terms: retention"
