arise_control_id,prEN 18229-2 Reference,rationale
M.RM-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Third-Party Risk Management (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-01-req-06 (Remediation Management — Track vendor findings and verification evidence.) -- matched terms: verification. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
M.RM-02,Art. 15 - Testing Methods,"ARISE control AI Risk Management (MANAGE) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 4 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-02-req-05 (TEVV Alignment — Integrate testing, evaluation, verification, and validation into risk calculations.) -- matched terms: evaluat, test, testing, tevv, validation, verification"
M.RM-03,Art. 15 - Testing Methods,"ARISE control Cybersecurity Risk Management (MANAGE) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 5 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-03-req-01 (Vulnerability Identification: Use automated scanning (SAST/DAST/SCA/IaC), penetration testing, and red-team exercises.) -- matched terms: test, testing"
M.RP,Art. 15 - Trustworthiness Evaluation,"ARISE control Reporting (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 8 requirements demonstrate direct keyword alignment to this standard: M.RP-req-02 (Content Requirements: Include risk posture, incidents, performance metrics, TEVV results, and trend analysis.) -- matched terms: metric, tevv"
I.AM-01,Art. 15 - Trustworthiness Evaluation,"ARISE control AI System Inventory (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 10 requirements demonstrate direct keyword alignment to this standard: I.AM-01-req-03 (Minimum Metadata: Capture system name/ID, purpose/intended use, prohibited use, risk tier, business criticality, owners, data categories/rights/license, training/inference data sources, model family, versions, hyperparameters, lineage, fine-tune history, evaluation metrics, deployment targets, endpoints, dependencies (libraries/models/APIs), and support/SLA.) -- matched terms: evaluat, metric"
I.AM-02,Art. 15 - Robustness Evaluation,"ARISE control System Asset Management (IDENTIFY) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 9 requirements demonstrate direct keyword alignment to this standard: I.AM-02-req-09 (External Attack Surface Management (EASM): Implement continuous outside-in scanning to identify internet-facing assets (domains, certificates, open ports) that are not present in the internal inventory (Shadow IT discovery).) -- matched terms: attack. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
I.AM-03,Art. 15 - Trustworthiness Evaluation,"ARISE control BYOD Asset Management (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: I.AM-03-req-07 (Privacy-Preserving Mobile Threat Defense (MTD): Deploy advanced threat detection agents that identify network attacks (e.g., Man-in-the-Middle) and malicious applications on the device without inspecting personal content (e.g., photos, messages).) -- matched terms: attack. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
I.DG-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Data Mapping (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: I.DG-01-req-04 (AI-Specific Fields: Track dataset curation, labeling guidance, filtering/redaction, and test-split documentation.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
I.IM-01,Art. 15 - Trustworthiness Evaluation,"ARISE control AI Impacts (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 7 requirements demonstrate direct keyword alignment to this standard: I.IM-01-req-01 (Impact Assessment: Evaluate rights, discrimination, safety, economic, environmental, trust impacts.) -- matched terms: evaluat"
I.RM-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Risk Identification (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 5 requirements demonstrate direct keyword alignment to this standard: I.RM-01-req-03 (Systematic Intake: Collect risks from threat modeling, red-team, vuln scans, BIAs, DPIAs, supplier reviews, TEVV.) -- matched terms: tevv"
I.RM-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Insider Threat (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Proactively identify, monitor, and mitigate risks posed by insiders—employees, contractors, or third parties—who may intentionally or unintentionally compromise organizational assets, data, or AI systems.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
I.SC-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Supply Chain Risk (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Identify and manage risks from suppliers of software, models, datasets, and cloud services.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
I.TH-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Security Thresholds (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Define alarm thresholds and decision criteria for security events to ensure timely, consistent response.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
I.TH-02,Art. 15 - Robustness Evaluation,"ARISE control AI Operational Thresholds (IDENTIFY) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 6 requirements demonstrate direct keyword alignment to this standard: I.TH-02-req-02 (Monitoring: Track metrics continuously and alert on breaches.) -- matched terms: metric"
I.TM-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Threat Management (IDENTIFY) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Continuously identify, assess, and track threats to information systems and AI assets to inform defenses and investment.. None of the 9 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.AC.M-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Bias (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 7 requirements demonstrate direct keyword alignment to this standard: P.AC.M-01-req-01 (Documentation: Model cards with fairness assumptions, metrics, mitigations, limitations; re-evaluate on data/model changes.) -- matched terms: evaluat, metric"
P.AC.M-02,Art. 15 - Robustness Evaluation,"ARISE control Robustness (PROTECT) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 5 of 6 requirements demonstrate direct keyword alignment to this standard: P.AC.M-02-req-02 (Stress & Corruption Tests: Evaluate under noise, occlusion, domain shift; benchmark against robustness suites.) -- matched terms: benchmark, evaluat, robustness, test"
P.AC.M-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Explainability (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Provide audience-appropriate transparency and interpretability; disclose limits to support responsible use and governance.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.AC.S-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Datasets & Tagging (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Protect training/inference data integrity and lawful use through provenance, licensing, sensitivity labeling, and integrity controls.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.AC.S-02,Art. 15 - Robustness Evaluation,"ARISE control AI-Specific Attack Vectors (PROTECT) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 8 requirements demonstrate direct keyword alignment to this standard: P.AC.S-02-req-03 (Adversarial Testing: Red-team for jailbreaks, prompt-injection chains, data poisoning; capture signatures into detections.) -- matched terms: adversarial, test, testing"
P.AT-01,Art. 15 - Trustworthiness Evaluation,"ARISE control AI Training (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: P.AT-01-req-03 (Curriculum Design: Modular training covering bias, fairness, explainability, data governance, TEVV, and legal obligations.) -- matched terms: tevv. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
P.AT-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Cybersecurity Training (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 5 requirements demonstrate direct keyword alignment to this standard: P.AT-02-req-03 (Simulated Campaigns: Regular phishing tests; corrective micro-training for failures.) -- matched terms: test"
P.AT-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Governance Training (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Develop cross-functional literacy among leadership, risk owners, and committees in AI ethics, cybersecurity governance, and compliance management.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.DS-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Classification & Handling (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 8 requirements demonstrate direct keyword alignment to this standard: P.DS-01-req-07 (Automated Classification Verification: Implement automated scanning tools to periodically validate that data stored in repositories matches its assigned classification label (e.g., identifying unencrypted PII in a Public bucket).) -- matched terms: verification. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
P.DS-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Cryptographic Management (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Ensure confidentiality, integrity, and authenticity of data and AI models through modern, approved cryptographic controls.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.ES,Art. 15 - Trustworthiness Evaluation,"ARISE control Endpoint Security (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 9 requirements demonstrate direct keyword alignment to this standard: P.ES-req-09 (Model & Cache Integrity Monitoring: Implement file integrity monitoring (FIM) or cryptographic hash validation for locally stored model weights and inference caches to detect unauthorized tampering or poisoning of the local model state.) -- matched terms: validation. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
P.IM,Art. 15 - Trustworthiness Evaluation,"ARISE control Identity Management (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Ensure that only authorized, authenticated, and accountable entities—human or machine—can access systems, datasets, and AI resources, enforcing least-privilege and separation of duties.. None of the 10 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.NS,Art. 15 - Trustworthiness Evaluation,"ARISE control Network Security (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 7 requirements demonstrate direct keyword alignment to this standard: P.NS-req-02 (Perimeter & API Security: WAF and API gateways for authentication, schema validation, rate limits; bot/injection protections.) -- matched terms: validation"
P.PC,Art. 15 - Trustworthiness Evaluation,"ARISE control Privacy Controls (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Protect personal and sensitive information by embedding privacy-enhancing technologies and governance in all systems.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.PS,Art. 15 - Trustworthiness Evaluation,"ARISE control Platform Security (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 4 of 8 requirements demonstrate direct keyword alignment to this standard: P.PS-req-01 (Configuration Baselines: CIS benchmarks; preventive guardrails (policy-as-code) enforced in IaC and cloud policy engines.) -- matched terms: benchmark"
P.PY-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Access Controls (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Prevent unauthorized physical access to facilities, secure areas, and media.. None of the 4 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.PY-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Environment Controls (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Protect assets against environmental hazards and facility failures.. None of the 4 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.PY-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Safety & Security (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Protect personnel and assets during incidents; ensure safe evacuation and secure handling of sensitive media.. None of the 4 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
P.RC,Art. 15 - Robustness Evaluation,"ARISE control Resilience Controls (PROTECT) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 4 of 10 requirements demonstrate direct keyword alignment to this standard: P.RC-req-01 (Data Resilience: Immutable backups, point-in-time recovery, encryption, and cross-region copies; periodic restore tests including model artifacts.) -- matched terms: test"
P.RP-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Business Continuity (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: P.RP-01-req-03 (Validated Workarounds: Annual continuity tests; documented workarounds validated.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
P.RP-02,Art. 15 - Testing Methods,"ARISE control Disaster Recovery (PROTECT) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 6 requirements demonstrate direct keyword alignment to this standard: P.RP-02-req-02 (Restore Validation: Scheduled full/partial restores; verification of integrity and signing.) -- matched terms: validation, verification"
P.SC,Art. 15 - Trustworthiness Evaluation,"ARISE control Supply Chain (PROTECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 4 of 7 requirements demonstrate direct keyword alignment to this standard: P.SC-req-01 (Intake & Vetting: Security/legal review; license compliance; provenance validation; risk scoring.) -- matched terms: validation"
P.SD,Art. 15 - Testing Methods,"ARISE control Secure Development (PROTECT) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 10 requirements demonstrate direct keyword alignment to this standard: P.SD-req-05 (Provenance & Integrity: Signed builds; reproducible pipelines; attestation for artifacts/models.) -- matched terms: test"
D.AD,Art. 15 - Trustworthiness Evaluation,"ARISE control Anomaly Detection (DETECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 6 requirements demonstrate direct keyword alignment to this standard: D.AD-req-04 (Validation & Tuning: Periodically test detection accuracy and retrain models; review and tune at least annually.) -- matched terms: accuracy, test, validation"
D.CM,Art. 15 - Trustworthiness Evaluation,"ARISE control Continuous Monitoring (DETECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 8 requirements demonstrate direct keyword alignment to this standard: D.CM-req-01 (Telemetry Collection: Aggregate logs, metrics, and AI inference data across systems and environments.) -- matched terms: metric"
D.ID,Art. 15 - Trustworthiness Evaluation,"ARISE control IOC Detection (DETECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 7 requirements demonstrate direct keyword alignment to this standard: D.ID-req-04 (Validation: Validate IOC coverage and accuracy regularly.) -- matched terms: accuracy, validation"
D.IM,Art. 15 - Trustworthiness Evaluation,"ARISE control Incident Management (DETECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Ensure rapid identification, containment, analysis, and recovery from security and AI-related incidents to reduce impact and recurrence.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
D.MT,Art. 15 - Trustworthiness Evaluation,"ARISE control Monitor Third Parties (DETECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: D.MT-req-01 (Evidence Review: Require attestations, SOC/ISO/AI assurance reports.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
D.SA-01,Art. 15 - Testing Methods,"ARISE control Performing Security Assessments (DETECT) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: D.SA-01-req-03 (Fully Documented Testing Program: Conduct vulnerability, code(e.g., SAST, DAST, IAST, SCA...) tests.) -- matched terms: test, testing. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
D.SA-02,Art. 15 - Robustness Evaluation,"ARISE control Penetration Testing (DETECT) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 5 of 6 requirements demonstrate direct keyword alignment to this standard: D.SA-02-req-02 (Standard Execution: Conduct standard penetration testing on hosting infrastructure, APIs, and web applications.) -- matched terms: test, testing"
D.SA-03,Art. 15 - Testing Methods,"ARISE control Vulnerability Testing (DETECT) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Identify and mitigate exploitable weaknesses across systems, applications, and AI components.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
D.SA-04,Art. 15 - Testing Methods,"ARISE control Tabletop Exercises (BCDR) (DETECT) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: D.SA-04-req-07 (Drift ValidationMove beyond tabletops to technical simulations (e.g., actual failover of systems, restoring from vaulted backups).) -- matched terms: drift, validation. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
D.SA-05,Art. 15 - Trustworthiness Evaluation,"ARISE control Code Scanning (DETECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 8 requirements demonstrate direct keyword alignment to this standard: D.SA-05-req-08 (AI Artifacts Model Scanning: Scan model binary files (e.g., .pkl, .h5) for malware or deserialization attacks before ingestion.) -- matched terms: attack. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
D.TI,Art. 15 - Trustworthiness Evaluation,"ARISE control Threat Intelligence (DETECT) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 7 requirements demonstrate direct keyword alignment to this standard: D.TI-req-01 (Sources & Validation: Subscribe to validated TI feeds (CISA, ISACs, vendors).) -- matched terms: validation"
R.IC.E-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Regulatory Reporting (RESPOND) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.E-01-req-03 (Coordinate with Legal, DPO, and Compliance to ensure accuracy and legal sufficiency.) -- matched terms: accuracy. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
R.IC.E-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Law Enforcement Partners (RESPOND) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.E-02-req-06 (Scope Verification: Verify scope of engagement and specific data sharing requirements.) -- matched terms: verification. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
R.IC.E-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Information-Sharing Communities (RESPOND) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: R.IC.E-03-req-02 (Data Validation: Share only validated and non-sensitive threat data (IOCs, TTPs) to prevent false alarms or privacy leaks.) -- matched terms: validation. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
